,Min Value,Max Value
u,-9999.0,30.96
g,-9999.0,30.42098
r,-9999.0,31.17356
i,-9999.0,30.56236
z,-9999.0,28.55324
modelFlux_u,-47.45172,7915.306
modelFlux_g,-11.93584,18668.4
modelFlux_r,-42.44064,31755.99
modelFlux_i,-54.38551,51923.48
modelFlux_z,-144.4602,79058.46
petroFlux_u,-248693.0,12842.41
petroFlux_g,-179.2976,26830.07
petroFlux_r,-817.1262,49008.36
petroFlux_i,-1376.166,73220.98
petroFlux_z,-81280.98,85984.48
petroR50_u,-9999.0,116.3782
petroR50_g,-9999.0,165.2942
petroR50_r,-9999.0,223.4074
petroR50_i,-9999.0,184.5217
petroR50_z,-9999.0,89.22009
psfMag_u,-9999.0,26.82402
psfMag_g,-9999.0,26.1744
psfMag_r,-9999.0,25.00111
psfMag_i,-9999.0,25.96668
psfMag_z,-9999.0,27.04328
expAB_u,-9999.0,0.9999997
expAB_g,-9999.0,0.9999996
expAB_r,-9999.0,0.9999992
expAB_i,-9999.0,1.0
expAB_z,-9999.0,0.9999983
